algo,arch,m,k,n,meta_block_sz,block_sz,nn_row,mm_col,density,bm,bn,bk,wm,wn,wk,mm,mn,mk,nstage,spmm_time,gemm_time,speedup,error
1,sm_89,512,1024,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0337134,0.0110662,0.328244,0
1,sm_89,512,2048,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0682408,0.0184908,0.270964,0
1,sm_89,512,4096,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.146621,0.030057,0.204998,0
1,sm_89,512,8192,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.316947,0.0507012,0.159968,0
1,sm_89,512,16384,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.678403,0.0933026,0.137533,0
1,sm_89,512,256,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0188397,0.0087552,0.46472,0
1,sm_89,512,512,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0329401,0.00921354,0.279706,0
1,sm_89,512,1024,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.064765,0.0145929,0.225321,0
1,sm_89,512,2048,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.134584,0.0245101,0.182117,0
1,sm_89,512,4096,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.288971,0.0505905,0.175071,0
1,sm_89,512,8192,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.633526,0.0907862,0.143303,0
1,sm_89,512,16384,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.38295,0.16322,0.118023,0
1,sm_89,512,256,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.03063,0.00937302,0.306008,0
1,sm_89,512,512,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0575031,0.0155383,0.270217,0
1,sm_89,512,1024,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.114958,0.026324,0.228988,0
1,sm_89,512,2048,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.23873,0.0472383,0.197873,0
1,sm_89,512,4096,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.523848,0.0794158,0.151601,0
1,sm_89,512,8192,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.16838,0.161826,0.138504,0
1,sm_89,512,16384,2048,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,2.66944,0.308351,0.115512,0
1,sm_89,512,256,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0557785,0.0166639,0.298752,0
1,sm_89,512,512,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.110367,0.026298,0.238278,0
1,sm_89,512,1024,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.212352,0.0440259,0.207325,0
1,sm_89,512,2048,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.431061,0.0933224,0.216495,0
1,sm_89,512,4096,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.977145,0.171464,0.175474,0
1,sm_89,512,8192,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,2.28197,0.313087,0.1372,0
1,sm_89,512,16384,4096,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,5.35051,0.606898,0.113428,0
1,sm_89,512,256,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.112189,0.0346562,0.30891,0
1,sm_89,512,512,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.210363,0.0517395,0.245953,0
1,sm_89,512,1024,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.413303,0.104308,0.252377,0
1,sm_89,512,2048,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.852058,0.168937,0.19827,0
1,sm_89,512,4096,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.95711,0.316268,0.1616,0
1,sm_89,512,8192,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4.80936,0.551447,0.114661,0
1,sm_89,512,16384,8192,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,11.1257,1.06087,0.0953528,0
1,sm_89,512,256,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.215037,0.0613588,0.28534,0
1,sm_89,512,512,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.410648,0.0923984,0.225006,0
1,sm_89,512,1024,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.804882,0.196026,0.243546,0
1,sm_89,512,2048,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.60797,0.319906,0.19895,0
1,sm_89,512,4096,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4.042,0.578044,0.143009,0
1,sm_89,512,8192,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,9.80692,1.09214,0.111364,0
1,sm_89,512,16384,16384,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,22.9044,2.10709,0.091995,0
1,sm_89,1024,256,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0106089,0.00572672,0.539805,0
1,sm_89,1024,512,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0156823,0.00682576,0.435252,0
1,sm_89,1024,1024,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0263477,0.0110326,0.418731,0
1,sm_89,1024,2048,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.050258,0.0188454,0.374974,0
1,sm_89,1024,4096,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.112134,0.0323083,0.288123,0
1,sm_89,1024,8192,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.264378,0.0492202,0.186174,0
1,sm_89,1024,16384,256,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.591985,0.0919036,0.155247,0
1,sm_89,1024,256,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0173696,0.00616096,0.354698,0
1,sm_89,1024,512,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0286863,0.00903075,0.314811,0
1,sm_89,1024,1024,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0525058,0.0186898,0.355956,0
1,sm_89,1024,2048,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.107717,0.0292776,0.2718,0
1,sm_89,1024,4096,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.241445,0.0464041,0.192193,0
1,sm_89,1024,8192,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.550996,0.0797932,0.144816,0
1,sm_89,1024,16384,512,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.23038,0.16428,0.133519,0
1,sm_89,1024,256,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0280349,0.00973715,0.347323,0
1,sm_89,1024,512,1024,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.0493272,0.015319,0.310558,0
